# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	45794	48760	+			EAN33259.1	Pre-rRNA-processing protein TSR1-like protein	Tsr1		TpMuguga_01g00015	2395		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	45950	48744	+	EAN33259.1			Pre-rRNA-processing protein TSR1-like protein	Tsr1		TpMuguga_01g00015	2223	740	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	48853	51961	-					VPS10		TpMuguga_01g00016	3109		old_locus_tag=TP01_0016
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	48853	51961	-			EAN33260.2	Vacuolar protein sorting/targeting protein 10	VPS10		TpMuguga_01g00016	2863		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	48868	51687	-	EAN33260.2			Vacuolar protein sorting/targeting protein 10	VPS10		TpMuguga_01g00016	2574	857	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	52440	56084	+							TpMuguga_01g00017	3645		old_locus_tag=TP01_0017
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	52440	56084	+			EAN33261.2	PA14 domain protein			TpMuguga_01g00017	2800		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	52672	56084	+	EAN33261.2			PA14 domain protein			TpMuguga_01g00017	2568	855	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56181	56803	+							TpMuguga_01g00018	623		old_locus_tag=TP01_0018
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56181	56803	+			EAN33262.1	cwf18 pre-mRNA splicing factor family protein			TpMuguga_01g00018	476		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56181	56768	+	EAN33262.1			cwf18 pre-mRNA splicing factor family protein			TpMuguga_01g00018	441	146	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56787	58190	+							TpMuguga_01g00019	1404		old_locus_tag=TP01_0019
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56787	58190	+			EAN33263.2	hypothetical protein			TpMuguga_01g00019	1333		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	56962	58187	+	EAN33263.2			hypothetical protein			TpMuguga_01g00019	1155	384	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	58324	60117	+							TpMuguga_01g00020	1794		old_locus_tag=TP01_0020
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	58324	60117	+			EAN33264.1	hypothetical protein			TpMuguga_01g00020	1594		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	58357	60101	+	EAN33264.1			hypothetical protein			TpMuguga_01g00020	1545	514	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	60140	67693	-							TpMuguga_01g02140	7554		old_locus_tag=TP01_0021; TP01_0022
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	60140	67693	-			KAF5153328.1	hypothetical protein			TpMuguga_01g02140	7096		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	60194	67461	-	KAF5153328.1			hypothetical protein			TpMuguga_01g02140	6810	2269	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	67792	69037	-							TpMuguga_01g00023	1246		old_locus_tag=TP01_0023
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	67792	69037	-			EAN33267.2	hypothetical protein			TpMuguga_01g00023	1035		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	67792	69037	-	EAN33267.2			hypothetical protein			TpMuguga_01g00023	1035	344	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	69175	70780	-					iscS		TpMuguga_01g00024	1606		old_locus_tag=TP01_0024
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	69175	70780	-			EAN33268.1	Cysteine desulfurase	iscS		TpMuguga_01g00024	1538		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	69244	70658	-	EAN33268.1			Cysteine desulfurase	iscS		TpMuguga_01g00024	1347	448	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71037	71392	-							TpMuguga_01g02185	356		old_locus_tag=TP01_0025
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71037	71392	-			KAF5153329.1	putative integral membrane protein			TpMuguga_01g02185	316		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71213	71392	-	KAF5153329.1			putative integral membrane protein			TpMuguga_01g02185	180	59	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71575	72540	-							TpMuguga_01g02190	966		old_locus_tag=TP01_0025
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71575	72540	-			KAF5153331.1	CS domain protein			TpMuguga_01g02190	858		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	71575	72540	-	KAF5153331.1			CS domain protein			TpMuguga_01g02190	858	285	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	72537	73067	-							TpMuguga_01g02180	531		old_locus_tag=TP01_0025
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	72537	73067	-			KAF5153330.1	hypothetical protein			TpMuguga_01g02180	501		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	72537	73025	-	KAF5153330.1			hypothetical protein			TpMuguga_01g02180	459	152	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	73176	76121	+							TpMuguga_01g00026	2946		old_locus_tag=TP01_0026; TP01_0027
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	73176	76121	+			EAN33270.2	hypothetical protein			TpMuguga_01g00026	2946		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	73337	75550	+	EAN33270.2			hypothetical protein			TpMuguga_01g00026	2214	737	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	75403	76267	-							TpMuguga_01g00027	865		old_locus_tag=TP01_0027; TP01_0026
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	75403	76267	-			EAN33271.2	hypothetical protein			TpMuguga_01g00027	865		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	75553	76050	-	EAN33271.2			hypothetical protein			TpMuguga_01g00027	498	165	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	76187	77878	+					dusA		TpMuguga_01g00028	1692		old_locus_tag=TP01_0028
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	76187	77878	+			EAN33272.2	Dihydrouridine synthase (Dus)	dusA		TpMuguga_01g00028	1488		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	76313	77854	+	EAN33272.2			Dihydrouridine synthase (Dus)	dusA		TpMuguga_01g00028	1338	445	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	77978	79093	+					polr2c		TpMuguga_01g00029	1116		old_locus_tag=TP01_0029; TP01_0030
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	77978	79093	+			EAN33273.1	DNA-directed RNA polymerase II subunit rpb3	polr2c		TpMuguga_01g00029	1116		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	78013	79077	+	EAN33273.1			DNA-directed RNA polymerase II subunit rpb3	polr2c		TpMuguga_01g00029	1065	354	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	79070	80547	+					alkB		TpMuguga_01g00030	1478		old_locus_tag=TP01_0029; TP01_0030
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	79070	80547	+			EAN33274.2	Alpha-ketoglutarate-dependent dioxygenase alkB	alkB		TpMuguga_01g00030	1301		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	79159	80388	+	EAN33274.2			Alpha-ketoglutarate-dependent dioxygenase alkB	alkB		TpMuguga_01g00030	1053	350	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	80615	82886	+					gatB		TpMuguga_01g00031	2272		old_locus_tag=TP01_0031; TP01_0032
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	80615	82886	+			EAN33275.1	GatB/GatE catalytic domain protein	gatB		TpMuguga_01g00031	2112		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	80671	82864	+	EAN33275.1			GatB/GatE catalytic domain protein	gatB		TpMuguga_01g00031	2034	677	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	82853	84520	-							TpMuguga_01g02330	1668		old_locus_tag=TP01_0032; TP01_0031
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	82853	84520	-			KAF5153332.1	putative integral membrane protein			TpMuguga_01g02330	1668		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	82853	84520	-	KAF5153332.1			putative integral membrane protein			TpMuguga_01g02330	1668	555	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	84644	87684	-							TpMuguga_01g02620	3041		old_locus_tag=TP01_0032; TP01_0033; TP01_0034
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	84644	87684	-			KAF5153333.1	RAP domain protein			TpMuguga_01g02620	2895		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	84644	87684	-	KAF5153333.1			RAP domain protein			TpMuguga_01g02620	2895	964	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	87762	89301	-					DNAJA1		TpMuguga_01g00035	1540		old_locus_tag=TP01_0035
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	87762	89301	-			EAN33279.1	DnaJ domain protein	DNAJA1		TpMuguga_01g00035	1441		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	87785	89035	-	EAN33279.1			DnaJ domain protein	DNAJA1		TpMuguga_01g00035	1152	383	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	89419	91768	+					ORC2		TpMuguga_01g00036	2350		old_locus_tag=TP01_0036
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	89419	91768	+			EAN33280.2	Origin recognition complex subunit 2 family protein	ORC2		TpMuguga_01g00036	1927		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	89760	91686	+	EAN33280.2			Origin recognition complex subunit 2 family protein	ORC2		TpMuguga_01g00036	1623	540	
gene	tRNA	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	91820	91902	+							TpMuguga_01g01237	83		old_locus_tag=TP01_1237
tRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	91820	91902	+				tRNA-Tyr			TpMuguga_01g01237	83		
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	91924	93892	-					papA		TpMuguga_01g00037	1969		old_locus_tag=TP01_0037
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	91924	93892	-			EAN33281.1	Poly(A) polymerase PAPa	papA		TpMuguga_01g00037	1882		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	92095	93705	-	EAN33281.1			Poly(A) polymerase PAPa	papA		TpMuguga_01g00037	1524	507	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	93971	95660	+							TpMuguga_01g00038	1690		old_locus_tag=TP01_0038
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	93971	95660	+			EAN33282.1	hypothetical protein			TpMuguga_01g00038	1690		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	94270	95646	+	EAN33282.1			hypothetical protein			TpMuguga_01g00038	1377	458	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	95662	96709	-					IMP4		TpMuguga_01g00039	1048		old_locus_tag=TP01_0039
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	95662	96709	-			EAN33283.2	U3 small nucleolar ribonucleoprotein IMP4	IMP4		TpMuguga_01g00039	956		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	95680	96650	-	EAN33283.2			U3 small nucleolar ribonucleoprotein IMP4	IMP4		TpMuguga_01g00039	879	292	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	96705	98128	-							TpMuguga_01g00040	1424		old_locus_tag=TP01_0040
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	96705	98128	-			EAN33284.1	Exonuclease V - a 5' deoxyribonuclease family protein			TpMuguga_01g00040	1359		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	96907	98024	-	EAN33284.1			Exonuclease V - a 5' deoxyribonuclease family protein			TpMuguga_01g00040	1053	350	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	98232	99412	+					RNASEH2A		TpMuguga_01g00041	1181		old_locus_tag=TP01_0041; TP01_0042
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	98232	99412	+			EAN33285.1	ribonuclease HII	RNASEH2A		TpMuguga_01g00041	988		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	98363	99389	+	EAN33285.1			ribonuclease HII	RNASEH2A		TpMuguga_01g00041	834	277	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	99212	100969	-							TpMuguga_01g00042	1758		old_locus_tag=TP01_0042; TP01_0041
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	99212	100969	-			EAN33286.1	AKAP7 2'5' RNA ligase-like domain protein			TpMuguga_01g00042	1691		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	99410	100874	-	EAN33286.1			AKAP7 2'5' RNA ligase-like domain protein			TpMuguga_01g00042	1398	465	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	100979	102852	+					HK		TpMuguga_01g00043	1874		old_locus_tag=TP01_0043; TP01_0044
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	100979	102852	+			EAN33287.2	Hexokinase family protein	HK		TpMuguga_01g00043	1675		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	101324	102781	+	EAN33287.2			Hexokinase family protein	HK		TpMuguga_01g00043	1458	485	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	102847	103777	+							TpMuguga_01g00044	931		old_locus_tag=TP01_0044
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	102847	103777	+			EAN33288.1	hypothetical protein			TpMuguga_01g00044	866		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	102847	103709	+	EAN33288.1			hypothetical protein			TpMuguga_01g00044	798	265	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	104119	105617	+					HK		TpMuguga_01g00045	1499		old_locus_tag=TP01_0045
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	104119	105617	+			EAN33289.1	Hexokinase family protein	HK		TpMuguga_01g00045	1499		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	104160	105617	+	EAN33289.1			Hexokinase family protein	HK		TpMuguga_01g00045	1458	485	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	105737	106202	-							TpMuguga_01g00046	466		old_locus_tag=TP01_0046
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	105737	106202	-			EAN33290.1	hypothetical protein			TpMuguga_01g00046	434		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	105737	106140	-	EAN33290.1			hypothetical protein			TpMuguga_01g00046	372	123	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	106271	107298	+							TpMuguga_01g00047	1028		old_locus_tag=TP01_0047
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	106271	107298	+			EAN33291.2	hypothetical protein			TpMuguga_01g00047	721		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	106425	107298	+	EAN33291.2			hypothetical protein			TpMuguga_01g00047	567	188	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	107279	109342	-							TpMuguga_01g00048	2064		old_locus_tag=TP01_0048
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	107279	109342	-			EAN33292.2	hypothetical protein			TpMuguga_01g00048	1763		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	107316	109170	-	EAN33292.2			hypothetical protein			TpMuguga_01g00048	1554	517	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	109410	111440	+					ACBP5		TpMuguga_01g02170	2031		old_locus_tag=TP01_0049; TP01_0050; TP01_0051
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	109410	111440	+			KAF5153334.1	Galactose oxidase central domain protein	ACBP5		TpMuguga_01g02170	1595		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	109630	111415	+	KAF5153334.1			Galactose oxidase central domain protein	ACBP5		TpMuguga_01g02170	1350	449	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	111355	113448	-							TpMuguga_01g00051	2094		old_locus_tag=TP01_0051
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	111355	113448	-			EAN33295.1	Sin-like protein conserved region family protein			TpMuguga_01g00051	2094		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	111412	113295	-	EAN33295.1			Sin-like protein conserved region family protein			TpMuguga_01g00051	1884	627	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	113516	115084	+							TpMuguga_01g02605	1569		old_locus_tag=TP01_0052
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	113516	115084	+			KAF5153335.1	hypothetical protein			TpMuguga_01g02605	1409		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	113664	114993	+	KAF5153335.1			hypothetical protein			TpMuguga_01g02605	1170	389	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	115160	117227	+							TpMuguga_01g02230	2068		old_locus_tag=TP01_0052; TP01_0053
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	115160	117227	+			KAF5153336.1	hypothetical protein			TpMuguga_01g02230	2068		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	115239	116981	+	KAF5153336.1			hypothetical protein			TpMuguga_01g02230	1743	580	
