# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	90453	91861	-							TOT_010000029	1409		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	90453	91861	-	BAM38560.1			molecular chaperone DnaJ			TOT_010000029	1161	386	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	92289	94307	+							TOT_010000030	2019		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	92289	94307	+	BAM38561.1			conserved hypothetical protein			TOT_010000030	1536	511	
gene	tRNA	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	94742	94824	+							TOT_01t000001	83		
tRNA		GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	94742	94824	+				tRNA-Tyr			TOT_01t000001	83		
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	95014	96648	-							TOT_010001203	1635		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	95014	96648	-	BAM38562.1			polyadenylate polymerase			TOT_010001203	1536	511	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	97214	98557	+							TOT_010000032	1344		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	97214	98557	+	BAM38563.1			conserved hypothetical protein			TOT_010000032	1344	447	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	98700	99674	-							TOT_010000033	975		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	98700	99674	-	BAM38564.1			U3 small nucleolar ribonucleoprotein			TOT_010000033	879	292	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	99936	101096	-							TOT_010000034	1161		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	99936	101096	-	BAM38565.1			conserved hypothetical protein			TOT_010000034	1089	362	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	101456	102847	+							TOT_010000035	1392		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	101456	102847	+	BAM38566.1			ribonuclease			TOT_010000035	855	284	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	102861	104494	-							TOT_010000036	1634		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	102861	104494	-	BAM38567.1			conserved hypothetical protein			TOT_010000036	1563	520	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	105072	106535	+							TOT_010000037	1464		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	105072	106535	+	BAM38568.1			hexokinase 1			TOT_010000037	1464	487	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	106589	107456	+							TOT_010000038	868		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	106589	107456	+	BAM38569.1			conserved hypothetical protein			TOT_010000038	795	264	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	108065	109525	+							TOT_010000039	1461		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	108065	109525	+	BAM38570.1			glucokinase			TOT_010000039	1461	486	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	109579	110446	+							TOT_010000040	868		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	109579	110446	+	BAM38571.1			conserved hypothetical protein			TOT_010000040	795	264	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	111079	112548	+							TOT_010000041	1470		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	111079	112548	+	BAM38572.1			hexokinase 1			TOT_010000041	1470	489	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	112610	113009	-							TOT_010000042	400		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	112610	113009	-	BAM38573.1			uncharacterized protein			TOT_010000042	372	123	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	113547	114147	+							TOT_010000043	601		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	113547	114147	+	BAM38574.1			conserved hypothetical protein			TOT_010000043	513	170	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	115082	116213	-							TOT_010000044	1132		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	115082	116213	-	BAM38575.1			conserved hypothetical protein			TOT_010000044	831	276	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	116854	118506	+							TOT_010000045	1653		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	116854	118506	+	BAM38576.1			uncharacterized protein			TOT_010000045	1245	414	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	118761	120870	-							TOT_010000046	2110		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	118761	120870	-	BAM38577.1			conserved hypothetical protein			TOT_010000046	1947	648	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	121026	122354	+							TOT_010000047	1329		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	121026	122354	+	BAM38578.1			conserved hypothetical protein			TOT_010000047	1167	388	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	122591	124324	+							TOT_010000048	1734		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	122591	124324	+	BAM38579.1			uncharacterized protein			TOT_010000048	1734	577	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	124567	125028	-							TOT_010001204	462		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	124567	125028	-	BAM38580.1			uncharacterized protein			TOT_010001204	462	153	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	125166	127253	-							TOT_010000049	2088		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	125166	127253	-	BAM38581.1			GTPase			TOT_010000049	1758	585	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	127410	129156	-							TOT_010000050	1747		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	127410	129156	-	BAM38582.1			DEAD-box family RNA helicase			TOT_010000050	1440	479	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	130023	130538	+							TOT_010000051	516		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	130023	130538	+	BAM38583.1			conserved hypothetical protein			TOT_010000051	516	171	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	130670	131495	-							TOT_010000052	826		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	130670	131495	-	BAM38584.1			uncharacterized protein			TOT_010000052	621	206	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	131660	132551	+							TOT_010000053	892		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	131660	132551	+	BAM38585.1			conserved hypothetical protein			TOT_010000053	828	275	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	133040	136656	-							TOT_010000054	3617		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	133040	136656	-	BAM38586.1			uncharacterized protein			TOT_010000054	3240	1079	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	136856	138501	+							TOT_010000055	1646		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	136856	138501	+	BAM38587.1			conserved hypothetical protein			TOT_010000055	1395	464	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	138525	139012	-							TOT_010000056	488		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	138525	139012	-	BAM38588.1			NifU-like protein 2, chloroplast precursor			TOT_010000056	456	151	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	139223	140091	+							TOT_010000057	869		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	139223	140091	+	BAM38589.1			conserved hypothetical protein			TOT_010000057	771	256	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	140137	140679	+							TOT_010000058	543		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	140137	140679	+	BAM38590.1			conserved hypothetical protein			TOT_010000058	513	170	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	140911	142060	+							TOT_010000059	1150		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	140911	142060	+	BAM38591.1			protein phosphatase 2c			TOT_010000059	987	328	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	142351	142530	-							TOT_010001205	180		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	142351	142530	-	BAM38592.1			conserved hypothetical protein			TOT_010001205	180	59	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	144731	145082	+							TOT_010000061	352		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	144731	145082	+	BAM38593.1			50S ribosomal protein L33			TOT_010000061	309	102	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	145397	145678	+							TOT_010000062	282		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	145397	145678	+	BAM38594.1			acyl-CoA-binding protein			TOT_010000062	282	93	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	147013	149361	+							TOT_010000063	2349		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	147013	149361	+	BAM38595.1			conserved hypothetical protein			TOT_010000063	2202	733	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	149362	150269	+							TOT_010000064	908		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	149362	150269	+	BAM38596.1			hypothetical protein			TOT_010000064	471	156	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	151238	153764	+							TOT_010000065	2527		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	151238	153764	+	BAM38597.1			uncharacterized protein			TOT_010000065	2097	698	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	153850	154147	-							TOT_010000066	298		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	153850	154147	-	BAM38598.1			conserved hypothetical protein			TOT_010000066	234	77	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	155317	158203	+							TOT_010000067	2887		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	155317	158203	+	BAM38599.1			importin subunit beta-1			TOT_010000067	2610	869	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	158713	158985	-							TOT_010001206	273		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	158713	158985	-	BAM38600.1			orotate phosphoribosyltransferase			TOT_010001206	273	90	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	159236	161941	+							TOT_010000069	2706		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	159236	161941	+	BAM38601.1			conserved hypothetical protein			TOT_010000069	2706	901	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	162077	162733	+							TOT_010000070	657		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	162077	162733	+	BAM38602.1			uncharacterized protein			TOT_010000070	555	184	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	162777	165197	-							TOT_010000071	2421		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	162777	165197	-	BAM38603.1			methyltransferase			TOT_010000071	2046	681	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	165399	166467	+							TOT_010000072	1069		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	165399	166467	+	BAM38604.1			conserved hypothetical protein			TOT_010000072	762	253	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	166865	172628	-							TOT_010001207	5764		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	166865	172628	-	BAM38605.1			uncharacterized protein			TOT_010001207	4893	1630	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	173127	173424	+							TOT_010000074	298		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	173127	173424	+	BAM38606.1			conserved hypothetical protein			TOT_010000074	147	48	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	173870	174267	+							TOT_010000075	398		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	173870	174267	+	BAM38607.1			conserved hypothetical protein			TOT_010000075	327	108	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	174364	175455	-							TOT_010000076	1092		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	174364	175455	-	BAM38608.1			conserved hypothetical protein			TOT_010000076	1092	363	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	176010	176524	+							TOT_010000077	515		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	176010	176524	+	BAM38609.1			conserved hypothetical protein			TOT_010000077	453	150	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	176572	180052	-							TOT_010000078	3481		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	176572	180052	-	BAM38610.1			protein phosphatase 2A regulatory subunit B			TOT_010000078	3003	1000	
gene	tRNA	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	180510	180582	+							TOT_01t000002	73		
tRNA		GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	180510	180582	+				tRNA-Phe			TOT_01t000002	73		
gene	tRNA	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	180873	180944	+							TOT_01t000003	72		
tRNA		GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	180873	180944	+				tRNA-His			TOT_01t000003	72		
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	181105	182008	+							TOT_010000079	904		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	181105	182008	+	BAM38611.1			vesicle transport protein			TOT_010000079	681	226	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	182097	183203	-							TOT_010001208	1107		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	182097	183203	-	BAM38612.1			CUG-BP- and ETR-3-like factor 1			TOT_010001208	873	290	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	183575	186446	+							TOT_010000081	2872		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	183575	186446	+	BAM38613.1			RNA-processing protein			TOT_010000081	2490	829	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	186533	189097	-							TOT_010000082	2565		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	186533	189097	-	BAM38614.1			conserved hypothetical protein			TOT_010000082	2538	845	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	189350	190993	+							TOT_010000083	1644		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	189350	190993	+	BAM38615.1			uncharacterized protein			TOT_010000083	1233	410	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	191167	199749	-							TOT_010000084	8583		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	191167	199749	-	BAM38616.1			uncharacterized protein			TOT_010000084	7950	2649	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	200300	201109	-							TOT_010000085	810		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	200300	201109	-	BAM38617.1			cytochrome C oxidase subunit 2a			TOT_010000085	810	269	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	201558	202016	+							TOT_010000086	459		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	201558	202016	+	BAM38618.1			uncharacterized protein			TOT_010000086	459	152	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	202156	203265	-							TOT_010000087	1110		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	202156	203265	-	BAM38619.1			conserved hypothetical protein			TOT_010000087	1110	369	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	203524	204437	-							TOT_010000088	914		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	203524	204437	-	BAM38620.1			conserved hypothetical protein			TOT_010000088	720	239	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	204524	205433	-							TOT_010000089	910		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	204524	205433	-	BAM38621.1			conserved hypothetical protein			TOT_010000089	543	180	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	205488	207584	-							TOT_010001209	2097		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	205488	207584	-	BAM38622.1			heat shock protein 70			TOT_010001209	2097	698	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	207944	212523	-							TOT_010000091	4580		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	207944	212523	-	BAM38623.1			protein transport protein sec24-like			TOT_010000091	2739	912	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	213157	215307	+							TOT_010000092	2151		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	213157	215307	+	BAM38624.1			uncharacterized protein			TOT_010000092	2151	716	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	215751	216893	+							TOT_010000093	1143		
CDS	with_protein	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	215751	216893	+	BAM38625.1			fructose-bisphosphate aldolase 2			TOT_010000093	1143	380	
gene	protein_coding	GCA_000740895.1	Primary Assembly	chromosome	1	AP011946.1	217043	217741	+							TOT_010000094	699		
